Ticker            , Description                                                                     , Dernier        , Variation % , Variation     , Haut           , Bas            , Volume           , Évaluation , Marché
18CBTC            , 18C / Bitcoin                                                                   , 8e-8           , 2.61096606  , 0             , 8e-8           , 8e-8           , 7200.98          , Fort achat , HUOBI
18CETH            , 18C / Ethereum                                                                  , 0.00000209     , 0           , 0             , 0.00000209     , 0.00000209     , 10629.89         , Forte vente, HUOBI
1INCHBTC          , 1INCH / Bitcoin                                                                 , 0.00009552     , 3.43259339  , 0.00000317    , 0.00009552     , 0.00009552     , 5.3              , Neutre     , HITBTC
1INCHBTC          , 1inch / Bitcoin                                                                 , 0.0000976      , 0.23621239  , 2.3e-7        , 0.0000976      , 0.0000976      , 1.23             , Acheter    , HUOBI
1INCHBTC          , 1INCH / Bitcoin                                                                 , 0.00009752     , 0.27763496  , 2.7e-7        , 0.00009752     , 0.00009738     , 103.2            , Acheter    , BINANCE
1INCHETH          , 1inch / Ethereum                                                                , 0.00260178     , -0.57588322 , -0.00001507   , 0.00260247     , 0.00259983     , 144.35           , Vendre     , HUOBI
1INCHUSD          , 1INCH / US Dollar (calculated by TradingView)                                   , 5.09542        , 0.26727241  , 0.01358235    , 5.09937054     , 5.088105       , 104.29495569     , Acheter    , BINANCE
1INCHUSD          , 1INCH / US Dollar (calculated by TradingView)                                   , 4.99092        , -0.01033386 , -0.00051581   , 4.99478952     , 4.99092        , 6.39495569       , Acheter    , HITBTC
1INCHUSDT         , 1INCH / Tether                                                                  , 5.106381       , 0.39628605  , 0.020156      , 5.106381       , 5.106381       , 1                , Fort achat , HITBTC
1INCHUSDT         , 1inch / Tether USD                                                              , 5.081305       , -0.10936002 , -0.005563     , 5.092876       , 5.081305       , 71.91051646      , Acheter    , HUOBI
1INCHUSDT         , 1INCH / TetherUS                                                                , 5.09           , -0.0019646  , -0.0001       , 5.0964         , 5.0863         , 723.98           , Acheter    , BINANCE
1INCHUSDT         , 1INCH Token / Tether                                                            , 5.116          , 0           , 0             , 5.116          , 5.116          , 591.5216404      , Acheter    , KUCOIN
1INCHUSDTPERP     , 1INCH / TetherUS PERPETUAL FUTURES                                              , 5.1124         , 0.13907116  , 0.0071        , 5.1152         , 5.105          , 9040             , Acheter    , BINANCE
1STBTC            , First Blood / Bitcoin                                                           , 0.00000322     , 0           , 0             , 0.00000322     , 0.00000322     , 2997             , Vendre     , HITBTC
1STETH            , First Blood / Ethereum                                                          , 0.00008218     , 2.72875     , 0.00000218    , 0.00008218     , 0.00008218     , 2604             , Vendre     , HITBTC
1STUSD            , First Blood / US Dollar (calculated by TradingView)                             , 0.168245       , -0.01033386 , -0.00001739   , 0.16837544     , 0.168245       , 2998.09495569    , Vendre     , HITBTC
4ARTBTC           , 4ArtCoin / Bitcoin                                                              , 0.00000425     , 1.67464115  , 7e-8          , 0.00000425     , 0.00000425     , 533.07267817     , Acheter    , BITTREX
4ARTUSD           , 4ArtCoin / US Dollar (calculated by TradingView)                                , 0.2220625      , -0.01033386 , -0.00002295   , 0.22223467     , 0.2220625      , 534.16763386     , Acheter    , BITTREX
4ARTUSDT          , 4ArtCoin / Tether                                                               , 0.22123        , 3.4994152   , 0.00748       , 0.22123        , 0.22123        , 380.10415221     , Acheter    , BITTREX
AABUSDT           , AAX Token / Tether                                                              , 0.126039       , 0           , 0             , 0.126039       , 0.126039       , 12.7             , Vendre     , HITBTC
AACBTC            , Acute Angle Cloud / Bitcoin                                                     , 4.4e-7         , 0.18239854  , 0             , 4.4e-7         , 4.4e-7         , 1253.53          , Fort achat , HUOBI
AACETH            , Acute Angle Cloud / Ethereum                                                    , 0.00001201     , 0.4180602   , 5e-8          , 0.00001201     , 0.00001201     , 3897.78          , Fort achat , HUOBI
AACUSDT           , Acute Angle Cloud / Tether USD                                                  , 0.023085       , -0.0519548  , -0.000012     , 0.023102       , 0.023059       , 53811.66001689   , Acheter    , HUOBI
AAPLBTC           , Apple / Bitcoin                                                                 , 0.0025         , -2.33802762 , -0.00005985   , 0.00250001     , 0.0025         , 3                , Vendre     , BITTREX
AAPLUSD           , Apple / US Dollar                                                               , 131.243        , 0.6920309   , 0.902         , 131.243        , 131.24         , 308.58015092     , Forte vente, BITTREX
AAPLUSDT          , Apple / Tether                                                                  , 130            , -0.51325787 , -0.67067753   , 130            , 130            , 1.5              , Forte vente, BITTREX
AAVEAUD           , AAVE / AUD                                                                      , 610.47         , 1.745       , 10.47         , 610.47         , 610.47         , 0.48416          , Acheter    , KRAKEN
AAVEBNB           , AAVE / Binance Coin                                                             , 2.7971         , 0.35519518  , 0.0099        , 2.7971         , 2.7965         , 0.75             , Acheter    , BINANCE
AAVEBTC           , AAVE / Bitcoin                                                                  , 0.008893       , 0.13511992  , 0.000012      , 0.008893       , 0.008886       , 3.3754           , Vendre     , HUOBI
AAVEBTC           , Aave Token / Bitcoin                                                            , 0.00888948     , -0.34092349 , -0.00003041   , 0.00888948     , 0.00888948     , 0.17300107       , Acheter    , BITTREX
AAVEBTC           , Aave / Bitcoin                                                                  , 0.00884863     , -0.7725242  , -0.00006889   , 0.00884863     , 0.00884863     , 0.47563182       , Acheter    , POLONIEX
AAVEBTC           , Aave / Bitcoin                                                                  , 0.008889       , 0.06754475  , 0.000006      , 0.008889       , 0.008889       , 0.00029956       , Vendre     , KUCOIN
AAVEBTC           , AAVE / Bitcoin                                                                  , 0.008902       , 0.28162668  , 0.000025      , 0.008902       , 0.008877       , 140.97           , Vendre     , BINANCE
AAVEBTC           , AAVE / Bitcoin (calculated by TradingView)                                      , 0.00887611     , -0.01913326 , -0.0000017    , 0.00887611     , 0.00887475     , 0.2783574        , Vendre     , BITFINEX
AAVEBTC           , AAVE/BTC                                                                        , 0.00889832     , 0.24977045  , 0.00002217    , 0.00889832     , 0.00888329     , 5.449            , Vendre     , COINBASE
AAVEBTC           , Aave / Bitcoin                                                                  , 0.0089373      , 0.01007117  , 9e-7          , 0.0089373      , 0.0089373      , 0.237            , Neutre     , HITBTC
AAVEBUSD          , AAVE / BUSD                                                                     , 465.536        , 0.41651837  , 1.931         , 465.536        , 464.804        , 0.301            , Vendre     , BINANCE
AAVEDOWNUSDT      , AAVEDOWN / TetherUS                                                             , 0.000704       , -1.26227209 , -0.000009     , 0.000714       , 0.000704       , 991159.64        , Acheter    , BINANCE
AAVEETH           , AAVE / Ethereum                                                                 , 0.2445         , 0.20491803  , 0.0005        , 0.2445         , 0.2442         , 0.5559           , Vendre     , HUOBI
AAVEETH           , AAVE / Ethereum                                                                 , 0.24337        , -0.1518011  , -0.00037      , 0.24415        , 0.24337        , 1.542            , Forte vente, BINANCE
AAVEETH           , Aave / Ethereum                                                                 , 0.246505       , 0.60525177  , 0.001483      , 0.246505       , 0.246505       , 1.899            , Acheter    , HITBTC
AAVEETH           , Aave Token / Ethereum                                                           , 0.24694443     , 0.00002835  , 7e-8          , 0.24694443     , 0.24694443     , 2.44685693       , Acheter    , BITTREX
AAVEETH           , AAVE / ETH                                                                      , 0.2441         , -0.32666394 , -0.0008       , 0.2441         , 0.2441         , 0.09165573       , Vendre     , KRAKEN
AAVEEUR           , Aave Token / Euro                                                               , 387.295        , -0.91006314 , -3.557        , 387.295        , 387.295        , 0.97553277       , Acheter    , BITTREX
AAVEEUR           , AAVE / EUR                                                                      , 385.75         , -0.3564694  , -1.38         , 386.6          , 385.74         , 10.91413454      , Vendre     , KRAKEN
AAVEEUR           , AAVE/EUR                                                                        , 385.478        , 0.22568316  , 0.868         , 385.478        , 385.006        , 13.052           , Vendre     , COINBASE
AAVEGBP           , AAVE/GBP                                                                        , 334.895        , -0.27930549 , -0.938        , 334.895        , 334.894        , 9.11             , Vendre     , COINBASE
AAVEGBP           , AAVE / GBP                                                                      , 339.07         , -0.92914536 , -3.18         , 339.07         , 339.07         , 0.16937013       , Acheter    , KRAKEN
AAVEHUSD          , AAVE / HUSD                                                                     , 464.8338       , 0.14412984  , 0.669         , 464.8338       , 464.1667       , 0.137            , Vendre     , HUOBI
AAVEPERP          , AAVE Perpetual Swap Contract                                                    , 466.358        , 0.12129852  , 0.565         , 466.522        , 465.999        , 842              , Vendre     , HUOBI
AAVEUPUSDT        , AAVEUP / TetherUS                                                               , 190.126        , 0.60268696  , 1.139         , 190.126        , 190.126        , 0.17             , Vendre     , BINANCE
AAVEUSD           , Aave / US Dollar (calculated by TradingView)                                    , 462.3409175    , -0.01033386 , -0.0477826    , 462.6993755    , 462.3409175    , 1.57058751       , Vendre     , POLONIEX
AAVEUSD           , AAVEUSD                                                                         , 466.1048       , 0.30603679  , 1.4221        , 466.1048       , 464.2669       , 2.29293          , Vendre     , GEMINI
AAVEUSD           , AAVE / US Dollar (calculated by TradingView)                                    , 465.1295       , 0.24867755  , 1.1538034     , 465.49012002   , 463.82325      , 142.06495569     , Vendre     , BINANCE
AAVEUSD           , AAVE / USD                                                                      , 464.67         , 0.12497576  , 0.58          , 464.67         , 463.98         , 9.53810438       , Vendre     , KRAKEN
AAVEUSD           , Aave Token / US Dollar                                                          , 462.749        , 0.37982811  , 1.751         , 462.749        , 462.749        , 0.21407091       , Acheter    , BITTREX
AAVEUSD           , AAVE / Dollar                                                                   , 463.91         , -0.79550072 , -3.72         , 463.91         , 463.91         , 0.00127876       , Neutre     , BITFINEX
AAVEUSD           , Aave / US Dollar (calculated by TradingView)                                    , 466.973925     , -0.01033386 , -0.04826142   , 467.33597502   , 466.973925     , 1.33195569       , Vendre     , HITBTC
AAVEUSD           , AAVE/USD                                                                        , 465.298        , 0.29400734  , 1.364         , 465.754        , 463.934        , 91.218           , Vendre     , COINBASE
AAVEUSDT          , Aave / Tether                                                                   , 469.2291       , 0.28403499  , 1.329         , 469.2291       , 469.2291       , 0.009            , Fort achat , HITBTC
AAVEUSDT          , Aave / Tether USD                                                               , 466.108954     , 0.63375573  , 2.93538902    , 466.108954     , 466.108954     , 0.0072273        , Acheter    , POLONIEX
